EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-02-2025
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 TG   : mean temperature in 0.1 &#176;C
30-34 Q_TG : Quality code for TG (0='valid'; 1='suspect'; 9='missing')

This is the series (SOUID: 106715) of UNITED KINGDOM, STORNOWAY AIRPORT (STAID: 349)
See file sources.txt for more info.



 STAID, SOUID,    DATE,   TG, Q_TG
   349,106715,20010101,   50,    0
   349,106715,20010102,   72,    0
   349,106715,20010103,   48,    0
   349,106715,20010104,   40,    0
   349,106715,20010105,   30,    0
   349,106715,20010106,   43,    0
   349,106715,20010107,   48,    0
   349,106715,20010108,   43,    0
   349,106715,20010109,   20,    0
   349,106715,20010110,   28,    0
   349,106715,20010111,   32,    0
   349,106715,20010112,   30,    0
   349,106715,20010113,   36,    0
   349,106715,20010114,   53,    0
   349,106715,20010115,   58,    0
   349,106715,20010116,   38,    0
   349,106715,20010117,   -2,    0
   349,106715,20010118,   24,    0
   349,106715,20010119,   35,    0
   349,106715,20010120,   17,    0
   349,106715,20010121,   50,    0
   349,106715,20010122,   59,    0
   349,106715,20010123,   70,    0
   349,106715,20010124,   44,    0
   349,106715,20010125,   49,    0
   349,106715,20010126,   62,    0
   349,106715,20010127,   44,    0
   349,106715,20010128,   23,    0
   349,106715,20010129,   40,    0
   349,106715,20010130,   38,    0
   349,106715,20010131,   32,    0
   349,106715,20010201,   38,    0
   349,106715,20010202,   72,    0
   349,106715,20010203,   42,    0
   349,106715,20010204,   10,    0
   349,106715,20010205,   10,    0
   349,106715,20010206,   23,    0
   349,106715,20010207,    6,    0
   349,106715,20010208,   10,    0
   349,106715,20010209,   13,    0
   349,106715,20010210,   37,    0
   349,106715,20010211,   71,    0
   349,106715,20010212,   72,    0
   349,106715,20010213,   74,    0
   349,106715,20010214,   74,    0
   349,106715,20010215,   58,    0
   349,106715,20010216,   45,    0
   349,106715,20010217,   54,    0
   349,106715,20010218,   53,    0
   349,106715,20010219,   53,    0
   349,106715,20010220,   66,    0
   349,106715,20010221,   55,    0
   349,106715,20010222,   48,    0
   349,106715,20010223,   30,    0
   349,106715,20010224,    2,    0
   349,106715,20010225,   14,    0
   349,106715,20010226,    8,    0
   349,106715,20010227,    4,    0
   349,106715,20010228,  -10,    0
   349,106715,20010301,   -6,    0
   349,106715,20010302,  -14,    0
   349,106715,20010303,   -4,    0
   349,106715,20010304,   18,    0
   349,106715,20010305,   60,    0
   349,106715,20010306,   64,    0
   349,106715,20010307,   79,    0
   349,106715,20010308,   84,    0
   349,106715,20010309,   84,    0
   349,106715,20010310,   78,    0
   349,106715,20010311,   60,    0
   349,106715,20010312,   37,    0
   349,106715,20010313,   46,    0
   349,106715,20010314,   36,    0
   349,106715,20010315,   10,    0
   349,106715,20010316,   30,    0
   349,106715,20010317,   46,    0
   349,106715,20010318,   33,    0
   349,106715,20010319,   29,    0
   349,106715,20010320,   41,    0
   349,106715,20010321,   42,    0
   349,106715,20010322,   40,    0
   349,106715,20010323,   50,    0
   349,106715,20010324,   52,    0
   349,106715,20010325,   48,    0
   349,106715,20010326,   42,    0
   349,106715,20010327,   56,    0
   349,106715,20010328,   60,    0
   349,106715,20010329,   58,    0
   349,106715,20010330,   62,    0
   349,106715,20010331,   82,    0
   349,106715,20010401,   68,    0
   349,106715,20010402,   88,    0
   349,106715,20010403,   74,    0
   349,106715,20010404,   64,    0
   349,106715,20010405,   48,    0
   349,106715,20010406,   56,    0
   349,106715,20010407,   70,    0
   349,106715,20010408,   60,    0
   349,106715,20010409,   79,    0
   349,106715,20010410,   79,    0
   349,106715,20010411,   44,    0
   349,106715,20010412,   56,    0
   349,106715,20010413,   69,    0
   349,106715,20010414,   80,    0
   349,106715,20010415,   56,    0
   349,106715,20010416,   62,    0
   349,106715,20010417,   66,    0
   349,106715,20010418,   38,    0
   349,106715,20010419,   48,    0
   349,106715,20010420,   42,    0
   349,106715,20010421,   68,    0
   349,106715,20010422,   72,    0
   349,106715,20010423,   68,    0
   349,106715,20010424,   84,    0
   349,106715,20010425,   68,    0
   349,106715,20010426,   74,    0
   349,106715,20010427,   59,    0
   349,106715,20010428,   58,    0
   349,106715,20010429,   46,    0
   349,106715,20010430,   76,    0
   349,106715,20010501,   72,    0
   349,106715,20010502,   92,    0
   349,106715,20010503,   64,    0
   349,106715,20010504,   64,    0
   349,106715,20010505,   76,    0
   349,106715,20010506,   84,    0
   349,106715,20010507,   82,    0
   349,106715,20010508,  102,    0
   349,106715,20010509,   92,    0
   349,106715,20010510,  133,    0
   349,106715,20010511,  124,    0
   349,106715,20010512,  132,    0
   349,106715,20010513,  102,    0
   349,106715,20010514,  111,    0
   349,106715,20010515,   96,    0
   349,106715,20010516,   80,    0
   349,106715,20010517,   94,    0
   349,106715,20010518,   77,    0
   349,106715,20010519,   94,    0
   349,106715,20010520,  104,    0
   349,106715,20010521,  128,    0
   349,106715,20010522,  131,    0
   349,106715,20010523,  114,    0
   349,106715,20010524,  115,    0
   349,106715,20010525,  137,    0
   349,106715,20010526,  136,    0
   349,106715,20010527,  126,    0
   349,106715,20010528,  130,    0
   349,106715,20010529,  116,    0
   349,106715,20010530,  111,    0
   349,106715,20010531,  108,    0
   349,106715,20010601,  106,    0
   349,106715,20010602,   88,    0
   349,106715,20010603,   90,    0
   349,106715,20010604,  108,    0
   349,106715,20010605,  114,    0
   349,106715,20010606,   86,    0
   349,106715,20010607,   70,    0
   349,106715,20010608,   70,    0
   349,106715,20010609,   72,    0
   349,106715,20010610,   88,    0
   349,106715,20010611,   98,    0
   349,106715,20010612,  106,    0
   349,106715,20010613,  104,    0
   349,106715,20010614,  102,    0
